Episode,Total_Reward,Agent_0_Reward,Agent_1_Reward,Agent_2_Reward,Agent_3_Reward,Agent_0_Actor_Loss,Agent_1_Actor_Loss,Agent_2_Actor_Loss,Agent_3_Actor_Loss,Agent_0_Critic_Loss,Agent_1_Critic_Loss,Agent_2_Critic_Loss,Agent_3_Critic_Loss
0,-69.3500000000002,-24.70000000000009,-8.749999999999995,-29.400000000000105,-6.499999999999997,0.03411506663162626,-0.0653169744890993,0.03804799239277718,-0.007230376705790505,0.35079775501609495,0.4990222227820398,0.35097006060506986,0.4813898820227579
1,-80.4000000000002,-29.800000000000118,-11.400000000000006,-17.15,-22.050000000000082,0.05258204627316445,-0.08353668181807734,0.024468303449684755,-0.0006665034522302448,0.29709301313385367,0.289469889793545,0.17762037437409162,0.24001626178622246
2,-9.699999999999969,1.8000000000000167,-7.14999999999999,-0.9999999999999926,-3.350000000000003,-0.15721454586833716,-0.13119105007965118,-0.022909660849254578,-0.07516619505826384,0.18184147277846932,0.17932055002078415,0.11841328456997871,0.1639558059722185
3,6.950000000000028,6.499999999999998,-3.749999999999985,-3.5499999999999954,7.75000000000001,-0.22483670469373465,-0.24258725810796022,-0.19024263829458504,-0.20485883992165327,0.13654671857133507,0.11467514513991774,0.13556023094803094,0.11751918144524097
4,-16.55000000000009,17.79999999999998,-9.049999999999992,-21.30000000000008,-3.9999999999999964,-0.35990817509591577,-0.5927390923351049,-0.6122595559060574,-0.3347305477410555,0.09875979733653367,0.08891908899880946,0.08942343603819608,0.08493821038864553
5,19.09999999999998,17.99999999999998,-7.4999999999999964,-7.799999999999978,16.399999999999977,-0.5670380468666554,-1.0454016947746276,-1.0689260107278824,-0.5722946166992188,0.0692268695961684,0.1376822782959789,0.12554567655548454,0.034058673214167355
6,3.3499999999999996,14.799999999999988,-12.69999999999999,-11.399999999999968,12.64999999999997,-0.6474265611171722,-1.3085917752981187,-1.5040327996015548,-0.6292362274229526,0.0509809610620141,0.1051717015914619,0.07716581612825393,0.08181866533122957
7,-19.250000000000178,13.399999999999993,-15.39999999999998,-30.50000000000014,13.249999999999948,-0.6751813164353371,-1.4016665536165238,-2.0206139242649077,-0.6804233980178833,0.07771304803900421,0.08609596790745855,0.08271997533738613,0.07780817719176411
8,-26.75000000000005,11.899999999999997,-4.599999999999994,-44.500000000000036,10.44999999999998,-0.6875776398181915,-1.464183252453804,-2.2645164209604265,-0.9026417830586433,0.048486100775189694,0.07999810421839357,0.0827956525143236,0.10406016927212476
9,6.250000000000027,17.99999999999998,-11.099999999999989,-11.499999999999963,10.85,-0.6928899872303009,-1.5750005584955216,-2.5941366654634477,-0.868616299033165,0.04842819808516651,0.07924377785995602,0.08267761739902198,0.06740133606828749
10,5.099999999999994,17.299999999999976,-15.199999999999978,-13.999999999999982,16.99999999999998,-0.6839641952514648,-1.673864494562149,-2.949378467798233,-0.8384770441055298,0.0485575931193307,0.057323806639760735,0.09527290672063828,0.03793646763078869
11,5.700000000000001,14.399999999999972,-14.799999999999976,-4.999999999999991,11.099999999999996,-0.7418850380182266,-1.7817749804258347,-3.0771774685382844,-0.797365412414074,0.10421178730670362,0.08407061830163003,0.09128413567319513,0.06293378464411944
12,17.4,10.599999999999993,1.0999999999999994,-4.999999999999996,10.700000000000001,-1.3581688693165779,-1.770323818922043,-3.064302537441254,-0.7619485026597976,0.0708998321276158,0.056110880244523285,0.06586914502084255,0.03127765384037048
13,-23.599999999999962,-15.899999999999995,-6.899999999999983,-15.999999999999964,15.199999999999978,-1.6958128857612609,-1.7967817068099976,-3.177549211978912,-0.7255545130372048,0.08415633006021381,0.052694360781461,0.07949416783638298,0.03141743972431868
14,21.200000000000006,5.700000000000005,6.200000000000012,-2.0000000000000013,11.299999999999992,-1.911113839149475,-1.8541354131698609,-3.4906072914600372,-0.683266416490078,0.10620267176069319,0.06440959918312729,0.07080527608282865,0.04470347817521542
15,14.199999999999985,-6.799999999999996,-1.7500000000000013,6.050000000000004,16.699999999999978,-2.123723239302635,-2.497603042721748,-4.199185882806778,-0.6816751766204834,0.0965633800253272,0.07238938313908876,0.05864122118800878,0.05917406491935253
16,33.39999999999999,12.899999999999993,0.3499999999999996,6.5500000000000105,13.59999999999999,-2.1016578179597856,-3.1551280641555786,-5.254962627887726,-0.689168287217617,0.08451354213058948,0.06149302848614752,0.060305209448561076,0.026108078034594653
